id,sigla,nome,uri
36898,AVANTE,Avante,https://dadosabertos.camara.leg.br/api/v2/partidos/36898
37905,CIDADANIA,Cidadania,https://dadosabertos.camara.leg.br/api/v2/partidos/37905
37902,DC,Democracia Cristã,https://dadosabertos.camara.leg.br/api/v2/partidos/37902
36769,DEM,Democratas,https://dadosabertos.camara.leg.br/api/v2/partidos/36769
36899,MDB,Movimento Democrático Brasileiro,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
37901,NOVO,Partido Novo,https://dadosabertos.camara.leg.br/api/v2/partidos/37901
37900,PATRI,Patriota,https://dadosabertos.camara.leg.br/api/v2/partidos/37900
37907,PATRIOTA,Patriota,https://dadosabertos.camara.leg.br/api/v2/partidos/37907
36863,PCB,Partido Constitucionalista Brasileiro,https://dadosabertos.camara.leg.br/api/v2/partidos/36863
36779,PCdoB,Partido Comunista do Brasil,https://dadosabertos.camara.leg.br/api/v2/partidos/36779
36781,PCO,Partido da Causa Operária,https://dadosabertos.camara.leg.br/api/v2/partidos/36781
36786,PDT,Partido Democrático Trabalhista,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
36793,PHS,Partido Humanista da Solidariedade,https://dadosabertos.camara.leg.br/api/v2/partidos/36793
37906,PL,Partido Liberal,https://dadosabertos.camara.leg.br/api/v2/partidos/37906
36887,PMB,Partido da Mulher Brasileira,https://dadosabertos.camara.leg.br/api/v2/partidos/36887
